"character","start","end"
"BB-8 Performed By",157,573
"Lor San Tekka",171,573
"Poe Dameron",171,573
"Jakku Villager",236,573
"Finn",336,573
"Lead Stormtrooper",336,573
"Kylo Ren",397,573
"FN-3181",459,573
"Captain Phasma",503,573
"Poe Dameron",587,643
"Finn",601,643
"Captain Phasma",619,643
"Rey",643,1004
"Unkar Plutt",797,1004
"BB-8 Performed By",888,1004
"Teedo",892,1004
"Poe Dameron",1009,1084
"Kylo Ren",1012,1084
"General Hux",1076,1084
"BB-8 Performed By",1084,1161
"Rey",1085,1161
"Unkar Plutt",1105,1161
"Finn",1161,1443
"Poe Dameron",1163,1443
"First Order Officer",1251,1443
"Colonel Kaplan",1253,1443
"General Hux",1347,1443
"Lieutenant Mitaka",1350,1443
"Kylo Ren",1350,1443
"Captain Phasma",1421,1443
"First Order Officer",1431,1443
"Finn",1443,1571
"General Hux",1571,1605
"Kylo Ren",1573,1605
"Finn",1605,2199
"BB-8 Performed By",1640,2199
"Rey",1640,2199
"Unkar Plutt",1957,2199
"Lieutenant Mitaka",2204,2265
"Kylo Ren",2210,2265
"Rey",2265,2571
"BB-8 Performed By",2267,2571
"Finn",2267,2571
"Han Solo",2419,2571
"Chewbacca",2419,2571
"Han Solo",2571,2962
"Chewbacca",2571,2962
"BB-8 Performed By",2571,2962
"Finn",2571,2962
"Rey",2571,2962
"Bala-Tik",2631,2962
"Razoo Quin-Fee",2674,2962
"Tasu Leech",2674,2962
"Supreme Leader Snoke",2970,3079
"General Hux",2974,3079
"Kylo Ren",2974,3079
"Han Solo",3081,3299
"Rey",3081,3299
"Chewbacca",3090,3299
"Finn",3090,3299
"BB-8 Performed By",3096,3299
"Han Solo",3299,3523
"Finn",3299,3523
"Rey",3327,3523
"Maz Kanata",3454,3523
"BB-8 Performed By",3469,3523
"Bazine Netal",3483,3523
"Kylo Ren",3531,3587
"BB-8 Performed By",3587,3855
"Maz Kanata",3587,3855
"Rey",3587,3855
"Han Solo",3589,3855
"Finn",3596,3855
"BB-8 Performed By",3855,4116
"Rey",3855,4116
"Yoda",3952,4116
"Luke Skywalker",3954,4116
"R2-D2 Consultant",3954,4116
"Kylo Ren",3960,4116
"Knight of Ren",3965,4116
"Young Rey",3974,4116
"Unkar Plutt",3975,4116
"Obi-Wan Kenobi",3986,4116
"Obi-Wan Kenobi",3991,4116
"Maz Kanata",3995,4116
"General Hux",4119,4306
"Captain Phasma",4123,4306
"First Order Officer",4174,4306
"First Order Officer",4176,4306
"Kylo Ren",4206,4306
"Finn",4214,4306
"Politician",4235,4306
"Korr Sella",4235,4306
"Han Solo",4251,4306
"Chewbacca",4251,4306
"Rey",4266,4306
"BB-8 Performed By",4279,4306
"Maz Kanata",4309,4855
"Han Solo",4309,4855
"Chewbacca",4309,4855
"Finn",4309,4855
"BB-8 Performed By",4337,4855
"Rey",4337,4855
"Kylo Ren",4386,4855
"FN-2199",4459,4855
"Poe Dameron",4539,4855
"Princess Leia",4786,4855
"C-3PO",4796,4855
"Finn",4870,5135
"Poe Dameron",4888,5135
"BB-8 Performed By",4891,5135
"Princess Leia",4941,5135
"Snap Wexley",4944,5135
"Lieutenant Connix",4944,5135
"Chewbacca",4969,5135
"Dr. Kalonia",4969,5135
"C-3PO",4979,5135
"Han Solo",4998,5135
"R2-D2 Consultant",5016,5135
"Admiral Statura",5118,5135
"Rey",5138,5400
"Kylo Ren",5150,5400
"Supreme Leader Snoke",5348,5400
"General Hux",5356,5400
"Rey",5400,5532
"Stormtrooper",5404,5532
"Kylo Ren",5442,5532
"General Hux",5507,5532
"Princess Leia",5532,5704
"Poe Dameron",5532,5704
"Snap Wexley",5535,5704
"Finn",5536,5704
"C-3PO",5537,5704
"Han Solo",5539,5704
"Chewbacca",5539,5704
"Brance",5539,5704
"Major Ematt",5542,5704
"Admiral Statura",5542,5704
"Nien Nunb",5542,5704
"Admiral Ackbar",5542,5704
"BB-8 Performed By",5590,5704
"Kylo Ren",5704,5847
"Stormtrooper",5704,5847
"Rey",5720,5847
"Chewbacca",5730,5847
"Finn",5730,5847
"Han Solo",5731,5847
"First Order Officer",5841,5847
"General Hux",5841,5847
"FN-9330",5847,5968
"Han Solo",5848,5968
"Chewbacca",5848,5968
"Finn",5848,5968
"Captain Phasma",5857,5968
"Rey",5878,5968
"C-3PO",5969,6130
"Princess Leia",5969,6130
"Admiral Statura",5969,6130
"Poe Dameron",5977,6130
"Nien Nunb",5980,6130
"Snap Wexley",6000,6130
"General Hux",6009,6130
"Colonel Datoo",6012,6130
"Lieutenant Bastian",6027,6130
"Jess Testor",6029,6130
"Finn",6051,6130
"Han Solo",6053,6130
"Chewbacca",6056,6130
"Rey",6067,6130
"Snap Wexley",6137,6299
"Jess Testor",6139,6299
"Han Solo",6153,6299
"Rey",6154,6299
"Finn",6154,6299
"Chewbacca",6155,6299
"Lieutenant Connix",6166,6299
"Princess Leia",6167,6299
"Admiral Statura",6167,6299
"C-3PO",6171,6299
"Captain Cypress",6171,6299
"Kylo Ren",6255,6299
"Kylo Ren",6299,6633
"Han Solo",6308,6633
"Chewbacca",6339,6633
"Finn",6363,6633
"Rey",6363,6633
"Princess Leia",6570,6633
"Admiral Ackbar",6624,6633
"Brance",6624,6633
"Tabala Zo",6626,6633
"Admiral Statura",6630,6633
"Finn",6634,6818
"Rey",6634,6818
"Kylo Ren",6659,6818
"Jess Testor",6822,6921
"Niv Lek",6822,6921
"Poe Dameron",6824,6921
"Lieutenant Bastian",6835,6921
"General Hux",6876,6921
"Kylo Ren",6921,7084
"Rey",6921,7084
"Colonel Datoo",7095,7208
"General Hux",7100,7208
"Supreme Leader Snoke",7106,7208
"Finn",7117,7208
"Rey",7117,7208
"Chewbacca",7141,7208
"Poe Dameron",7171,7208
"Jess Testor",7172,7208
"Snap Wexley",7174,7208
"Chewbacca",7212,7497
"Finn",7212,7497
"Rey",7213,7497
"Poe Dameron",7219,7497
"Princess Leia",7226,7497
"Snap Wexley",7226,7497
"Major Ematt",7226,7497
"Jess Testor",7226,7497
"Lieutenant Connix",7226,7497
"R2-D2 Consultant",7269,7497
"BB-8 Performed By",7274,7497
"C-3PO",7282,7497
"Brance",7314,7497
"Rey",7497,7626
"Luke Skywalker",7554,7626
