date,revMill
8/28/88 1:00,510.7
11/28/88 1:00,322
2/28/89 1:00,464.7
5/28/89 1:00,413.4
8/28/89 1:00,602.6
11/28/89 1:00,445.7
2/28/90 1:00,577.9
5/28/90 1:00,609
8/28/90 1:00,833.6
11/28/90 1:00,648.8
2/28/91 1:00,802.2
5/28/91 1:00,719
8/28/91 1:00,947.2
11/28/91 1:00,743.4
2/28/92 1:00,867
5/28/92 1:00,847.6
8/28/92 1:00,1099.9
11/28/92 1:00,875.8
2/28/93 1:00,972
5/28/93 1:00,983.3
8/28/93 1:00,1107.9
11/28/93 1:00,805.8
2/28/94 1:00,871.8
5/28/94 1:00,1004.2
8/28/94 1:00,1170.4
11/28/94 1:00,1053.7
2/28/95 1:00,1124.7
5/28/95 1:00,1412
8/28/95 1:00,1614.6
11/28/95 1:00,1443
2/28/96 1:00,1491.6
5/28/96 1:00,1921.3
8/28/96 1:00,2281.9
11/28/96 1:00,2107
2/28/97 1:00,2423.6
5/28/97 1:00,2373.9
8/28/97 1:00,2766.1
11/28/97 1:00,2255.3
2/28/98 1:00,2224
5/28/98 1:00,2307.7
8/28/98 1:00,2504.8
11/28/98 1:00,1913
2/28/99 1:00,2176.8
5/28/99 1:00,2182.3
8/28/99 1:00,2501.1
11/28/99 1:00,2059.7
2/28/00 1:00,2161.6
5/28/00 1:00,2272.7
8/28/00 1:00,2636.7
11/28/00 1:00,2198.7
2/28/01 1:00,2170.1
5/28/01 1:00,2483.3
8/28/01 1:00,2613.7
11/28/01 1:00,2336.8
2/28/02 1:00,2260.3
5/28/02 1:00,2682.2
8/28/02 1:00,2796.3
11/28/02 1:00,2514.7
2/28/03 1:00,2400.9
5/28/03 1:00,2985.1
8/28/03 1:00,3024.9
11/28/03 1:00,2837.1
2/28/04 1:00,2904
5/28/04 1:00,3487.1
8/28/04 1:00,3561.8
11/28/04 1:00,3148.3
2/28/05 1:00,3308.2
5/28/05 1:00,3721.4
8/28/05 1:00,3862
11/28/05 1:00,3474.7
2/28/06 1:00,3612.8
5/28/06 1:00,4005.4
8/28/06 1:00,4194.1
11/28/06 1:00,3821.7
2/28/07 1:00,3926.9
5/28/07 1:00,4383.2
8/28/07 1:00,4655.1
11/28/07 1:00,4339.5
2/28/08 1:00,4544.4
5/28/08 1:00,5088
8/28/08 1:00,5432.2
11/28/08 1:00,4590.1
2/28/09 1:00,4440.8
5/28/09 1:00,4713
8/28/09 1:00,4799
11/28/09 1:00,4405
2/28/10 1:00,4733
5/28/10 1:00,5077
8/28/10 1:00,5175
11/28/10 1:00,4842
2/28/11 1:00,5079
5/28/11 1:00,5021
8/28/11 1:00,6081
11/28/11 1:00,5546
2/28/12 1:00,5656
5/28/12 1:00,6236
8/28/12 1:00,6474
11/28/12 1:00,5955
2/28/13 1:00,6187
5/28/13 1:00,6697
8/28/13 1:00,6971
11/28/13 1:00,6431
2/28/14 1:00,6972
5/28/14 1:00,7425
8/28/14 1:00,7982
11/28/14 1:00,7380
2/28/15 1:00,7460
5/28/15 1:00,7779
8/28/15 1:00,8414
11/28/15 1:00,7686
2/28/16 1:00,8032
5/28/16 1:00,8244
8/28/16 1:00,9061
11/28/16 1:00,8180
2/28/17 1:00,8432
5/28/17 1:00,8677
8/28/17 1:00,9070
11/28/17 1:00,8554
2/28/18 1:00,8984
5/28/18 1:00,9789
8/28/18 1:00,9948
11/28/18 1:00,9370
2/28/19 1:00,9611
5/28/19 1:00,10180
8/28/19 1:00,10660
11/28/19 1:00,10330
2/28/20 1:00,10100
5/28/20 1:00,6313
8/28/20 1:00,10590
11/28/20 1:00,11240
2/28/21 1:00,10360
5/28/21 1:00,12340
8/28/21 1:00,12250
11/28/21 1:00,11360
2/28/22 1:00,10870
5/28/22 1:00,12230
8/28/22 1:00,12690
,