Date,Value
9/30/09,24.64
12/31/09,25.31
3/31/10,23.76
6/30/10,24.01
9/30/10,23.71
12/31/10,24.59
3/31/11,25.7
6/30/11,26.41
9/30/11,26.67
12/31/11,28.3
3/31/12,30.8
6/30/12,30.71
9/30/12,30.23
12/31/12,31.38
3/31/13,30.75
6/30/13,31.25
9/30/13,31.93
12/31/13,32.83
3/31/14,32.69
6/30/14,34.6
9/30/14,35.02
12/31/14,37.06
3/31/15,36.33
6/30/15,37.17
9/30/15,38.64
12/31/15,41.15
3/31/16,43.22
6/30/16,43.72
9/30/16,44.62
12/31/16,45.99
3/31/17,44.51
6/30/17,45.68
9/30/17,46.18
12/31/17,48.41
3/31/18,45.74
6/30/18,46.92
9/30/18,47.49
12/31/18,54.42
3/31/19,61.65
6/30/19,63.43
9/30/19,64.81
12/31/19,66.89
3/31/20,66.76
6/30/20,65.34
9/30/20,67.06
12/31/20,69.55
3/31/21,69.1
6/30/21,72.62
9/30/21,73.79
12/31/21,76.6
3/31/22,76.83
6/30/22,80.64
9/30/22,81.16
12/31/22,83.85
3/31/23,85.28
6/30/23,88.92