Name,Cost,Set Name,R,  High  ,  Med  ,  Low  
Affectionate Indrik,5G,Guilds of Ravnica,U,5,0.15,0.03
Angel Token,,Guilds of Ravnica,T,2.27,0.24,0.08
Arboretum Elemental,7GG,Guilds of Ravnica,U,2.99,0.15,0.01
Arclight Phoenix,3R,Guilds of Ravnica,M,20,4.99,3
Artful Takedown,2UB,Guilds of Ravnica,C,150,0.1,0.01
Assassin's Trophy,BG,Guilds of Ravnica,R,39.99,20.97,16.86
Assure // Assemble,(G/W)(G/W)/4GW,Guilds of Ravnica,R,3.5,0.33,0.04
Attendant of Vraska,1BG,Guilds of Ravnica,U,2.99,0.2,0.09
"Aurelia, Exemplar of Justice",2RW,Guilds of Ravnica,M,27.58,14.91,10.98
Barging Sergeant,4R,Guilds of Ravnica,C,150,0.14,0.01
Barrier of Bones,B,Guilds of Ravnica,C,5,0.1,0.02
Bartizan Bats,3B,Guilds of Ravnica,C,150,0.1,0.01
Beacon Bolt,1UR,Guilds of Ravnica,U,2.99,0.18,0.05
Beamsplitter Mage,UR,Guilds of Ravnica,U,2.99,0.15,0.03
Beast Whisperer,2GG,Guilds of Ravnica,R,5.17,1.36,0.75
Bird Illusion Token,,Guilds of Ravnica,T,1.99,0.14,0.03
Blade Instructor,2W,Guilds of Ravnica,C,150,0.13,0.02
Blood Operative,1BB,Guilds of Ravnica,R,20,0.75,0.26
Book Devourer,5R,Guilds of Ravnica,U,2.99,0.15,0.02
Boros Challenger,RW,Guilds of Ravnica,U,2.99,0.2,0.08
Boros Guildgate (243),,Guilds of Ravnica,C,150,0.11,0.02
Boros Guildgate (244),,Guilds of Ravnica,C,0.95,0.1,0.02
Boros Locket,3,Guilds of Ravnica,C,0.95,0.1,0.03
Bounty Agent,1W,Guilds of Ravnica,R,31,0.41,0.2
Bounty of Might,4GG,Guilds of Ravnica,R,2.27,0.25,0.02
Burglar Rat,1B,Guilds of Ravnica,C,1.61,0.11,0.02
Camaraderie,4GW,Guilds of Ravnica,R,5,0.31,0.05
Candlelight Vigil,3W,Guilds of Ravnica,C,1.61,0.1,0.01
Capture Sphere,3U,Guilds of Ravnica,C,1.61,0.12,0.02
Centaur Peacemaker,1GW,Guilds of Ravnica,C,1.43,0.1,0.03
Chamber Sentry,X,Guilds of Ravnica,R,4.95,0.4,0.12
Chance for Glory,1RW,Guilds of Ravnica,M,23.98,1.68,0.75
Charnel Troll,1BG,Guilds of Ravnica,R,11.98,0.56,0.15
Chemister's Insight,3U,Guilds of Ravnica,U,2.99,0.85,0.27
Child of Night,1B,Guilds of Ravnica,C,150,0.1,0.01
Chromatic Lantern,3,Guilds of Ravnica,R,15,4,2.72
Circuitous Route,3G,Guilds of Ravnica,U,3.94,0.25,0.12
Citywatch Sphinx,5U,Guilds of Ravnica,U,2.99,0.15,0.02
Citywide Bust,1WW,Guilds of Ravnica,R,5.98,0.49,0.15
Collar the Culprit,3W,Guilds of Ravnica,C,150,0.1,0.01
Command the Storm,4R,Guilds of Ravnica,C,150,0.1,0.01
Conclave Cavalier,GGWW,Guilds of Ravnica,U,2.99,0.2,0.05
Conclave Guildmage,GW,Guilds of Ravnica,U,150,0.15,0.03
Conclave Tribunal,3W,Guilds of Ravnica,U,2.99,0.61,0.2
Connive // Concoct,2(U/B)(U/B)/3UB,Guilds of Ravnica,R,4.99,0.39,0.1
Cosmotronic Wave,3R,Guilds of Ravnica,C,150,0.12,0.03
Crackling Drake,UURR,Guilds of Ravnica,U,2.99,0.3,0.08
Creeping Chill,3B,Guilds of Ravnica,U,2.99,0.3,0.08
Crush Contraband,3W,Guilds of Ravnica,U,2.99,0.19,0.04
Crushing Canopy,2G,Guilds of Ravnica,C,1.61,0.1,0.01
Darkblade Agent,1UB,Guilds of Ravnica,C,0.95,0.11,0.03
Dawn of Hope,1W,Guilds of Ravnica,R,3.99,0.75,0.4
Dazzling Lights,U,Guilds of Ravnica,C,1.61,0.1,0.02
Dead Weight,B,Guilds of Ravnica,C,1.61,0.11,0.03
Deadly Visit,3BB,Guilds of Ravnica,C,21.42,0.13,0.02
Deafening Clarion,1RW,Guilds of Ravnica,R,4.98,2.07,0.99
Demotion,W,Guilds of Ravnica,U,3,0.15,0.01
Devious Cover-Up,2UU,Guilds of Ravnica,C,1.61,0.14,0.03
Devkarin Dissident,1G,Guilds of Ravnica,C,150,0.1,0.01
Dimir Guildgate (245),,Guilds of Ravnica,C,150,0.13,0.01
Dimir Guildgate (246),,Guilds of Ravnica,C,1,0.1,0.02
Dimir Informant,2U,Guilds of Ravnica,C,0.95,0.14,0.03
Dimir Locket,3,Guilds of Ravnica,C,0.95,0.1,0.03
Dimir Spybug,UB,Guilds of Ravnica,U,2.99,0.25,0.08
Direct Current,1RR,Guilds of Ravnica,C,150,0.13,0.01
Discovery // Dispersal,1(U/B)/3UB,Guilds of Ravnica,U,2.99,0.35,0.12
Disdainful Stroke,1U,Guilds of Ravnica,C,0.95,0.13,0.03
Disinformation Campaign,1UB,Guilds of Ravnica,U,2.99,0.24,0.06
District Guide,2G,Guilds of Ravnica,U,2.99,0.24,0.1
Divine Visitation,3WW,Guilds of Ravnica,M,13.99,5.46,3.99
Doom Whisperer,3BB,Guilds of Ravnica,M,39.92,24.99,21.5
Douser of Lights,4B,Guilds of Ravnica,C,150,0.1,0.01
Dream Eater,4UU,Guilds of Ravnica,M,17.98,7.11,5.03
Drowned Secrets,1U,Guilds of Ravnica,R,13.37,0.4,0.12
Electrostatic Field,1R,Guilds of Ravnica,U,2.99,0.2,0.08
Elf Knight Token,,Guilds of Ravnica,T,1.99,0.15,0.02
"Emblem - Ral, Izzet Viceroy",,Guilds of Ravnica,T,2.27,0.24,0.02
"Emblem - Vraska, Golgari Queen",,Guilds of Ravnica,T,5.99,0.24,0.02
"Emmara, Soul of the Accord",GW,Guilds of Ravnica,R,11.17,1.1,0.68
Enhanced Surveillance,1U,Guilds of Ravnica,U,2.99,0.18,0.03
Erratic Cyclops,3R,Guilds of Ravnica,R,4.99,0.25,0.05
Erstwhile Trooper,1BG,Guilds of Ravnica,C,1.61,0.1,0.02
"Etrata, the Silencer",2UB,Guilds of Ravnica,R,9,0.82,0.4
Expansion // Explosion,(U/R)(U/R)/XUURR,Guilds of Ravnica,R,4.99,2.49,0.54
Experimental Frenzy,3R,Guilds of Ravnica,R,11.99,4.96,3.28
Fearless Halberdier,2R,Guilds of Ravnica,C,150,0.1,0.01
Find // Finality,(B/G)(B/G)/4BG,Guilds of Ravnica,R,5.98,1.98,0.75
Fire Urchin,1R,Guilds of Ravnica,C,150,0.1,0.02
Firemind's Research,UR,Guilds of Ravnica,R,5.98,0.49,0.18
Flight of Equenauts,7W,Guilds of Ravnica,U,150,0.15,0.02
Flower // Flourish,(G/W)/4GW,Guilds of Ravnica,U,2.99,0.25,0.04
Forest,,Guilds of Ravnica,L,1.9,0.33,0.1
Fresh-Faced Recruit,1(R/W),Guilds of Ravnica,C,0.95,0.11,0.03
Garrison Sergeant,3RW,Guilds of Ravnica,C,150,0.1,0.02
Gatekeeper Gargoyle,6,Guilds of Ravnica,U,150,0.11,0.01
Gateway Plaza,,Guilds of Ravnica,C,0.95,0.1,0.04
Generous Stray,2G,Guilds of Ravnica,C,1.61,0.12,0.02
Gird for Battle,W,Guilds of Ravnica,U,2.99,0.15,0.02
Glaive of the Guildpact,2,Guilds of Ravnica,U,2.99,0.15,0.03
Glowspore Shaman,BG,Guilds of Ravnica,U,2.99,0.26,0.08
Goblin Banneret,R,Guilds of Ravnica,U,2.99,0.24,0.06
Goblin Cratermaker,1R,Guilds of Ravnica,U,2.99,0.25,0.08
Goblin Electromancer,UR,Guilds of Ravnica,C,1.9,0.15,0.03
Goblin Locksmith,1R,Guilds of Ravnica,C,21.42,0.1,0.01
Goblin Token,,Guilds of Ravnica,T,1.99,0.13,0.04
Golgari Findbroker,BBGG,Guilds of Ravnica,U,2.99,0.25,0.08
Golgari Guildgate (248),,Guilds of Ravnica,C,0.95,0.12,0.02
Golgari Guildgate (249),,Guilds of Ravnica,C,21.42,0.1,0.02
Golgari Locket,3,Guilds of Ravnica,C,0.95,0.1,0.01
Golgari Raiders,3G,Guilds of Ravnica,U,2.99,0.15,0.02
Grappling Sundew,1G,Guilds of Ravnica,U,2.99,0.17,0.01
Gravitic Punch,3R,Guilds of Ravnica,C,21.42,0.1,0.02
Gruesome Menagerie,3BB,Guilds of Ravnica,R,7.17,0.5,0.2
Guild Summit,2U,Guilds of Ravnica,U,2.99,0.15,0.03
Guildmages' Forum,,Guilds of Ravnica,R,4.95,0.48,0.25
Haazda Marshal,W,Guilds of Ravnica,U,2.99,0.15,0.03
Hammer Dropper,2RW,Guilds of Ravnica,C,1.9,0.13,0.02
Hatchery Spider,5GG,Guilds of Ravnica,R,3.38,0.25,0.05
Healer's Hawk,W,Guilds of Ravnica,C,0.95,0.14,0.03
Hellkite Whelp,4R,Guilds of Ravnica,U,21.42,0.15,0.01
Hired Poisoner,B,Guilds of Ravnica,C,1.61,0.1,0.03
Hitchclaw Recluse,2G,Guilds of Ravnica,C,150,0.1,0.01
House Guildmage,UB,Guilds of Ravnica,U,2.99,0.17,0.03
Hunted Witness,W,Guilds of Ravnica,C,0.95,0.11,0.02
Hypothesizzle,3UR,Guilds of Ravnica,C,0.95,0.14,0.03
Inescapable Blaze,4RR,Guilds of Ravnica,U,2.99,0.15,0.01
Insect Token,,Guilds of Ravnica,T,1.99,0.15,0.02
Inspiring Unicorn,2WW,Guilds of Ravnica,U,2.99,0.15,0.02
Integrity // Intervention,(R/W),Guilds of Ravnica,U,2.99,0.2,0.05
Intrusive Packbeast,4W,Guilds of Ravnica,C,150,0.1,0.01
Invert // Invent,(U/R)/4UR,Guilds of Ravnica,U,2.99,0.15,0.03
Ionize,1UR,Guilds of Ravnica,R,10,4.62,3.22
Ironshell Beetle,1G,Guilds of Ravnica,C,150,0.1,0.01
Island,,Guilds of Ravnica,L,1.9,0.23,0.08
"Izoni, Thousand-Eyed",2BBGG,Guilds of Ravnica,R,5.18,0.74,0.36
Izzet Guildgate (251),,Guilds of Ravnica,C,1.06,0.13,0.01
Izzet Guildgate (252),,Guilds of Ravnica,C,150,0.1,0.01
Izzet Locket,3,Guilds of Ravnica,C,0.95,0.11,0.01
Join Shields,3GW,Guilds of Ravnica,U,2.99,0.15,0.03
Justice Strike,RW,Guilds of Ravnica,U,2.99,0.32,0.1
Knight of Autumn,1GW,Guilds of Ravnica,R,11.17,4.99,3.4
Kraul Foragers,4G,Guilds of Ravnica,C,1.61,0.1,0.01
Kraul Harpooner,1G,Guilds of Ravnica,U,2.99,0.23,0.04
Kraul Raider,2B,Guilds of Ravnica,C,1.99,0.17,0.05
Kraul Swarm,4B,Guilds of Ravnica,U,150,0.15,0.01
Lava Coil,1R,Guilds of Ravnica,U,2.99,0.75,0.17
"Lazav, the Multifarious",UB,Guilds of Ravnica,M,14,4.96,3.2
League Guildmage,UR,Guilds of Ravnica,U,2.99,0.15,0.04
Leapfrog,2U,Guilds of Ravnica,C,150,0.14,0.01
Ledev Champion,1GW,Guilds of Ravnica,U,21.42,0.15,0.03
Ledev Guardian,3W,Guilds of Ravnica,C,150,0.1,0.01
Legion Guildmage,RW,Guilds of Ravnica,U,2.99,0.15,0.03
Legion Warboss,2R,Guilds of Ravnica,R,9.58,4.49,2.91
Light of the Legion,4WW,Guilds of Ravnica,R,5,0.25,0.05
Lotleth Giant,6B,Guilds of Ravnica,U,2.99,0.15,0.03
Loxodon Restorer,4WW,Guilds of Ravnica,C,21.42,0.1,0.02
Luminous Bonds,2W,Guilds of Ravnica,C,150,0.1,0.02
Maniacal Rage,1R,Guilds of Ravnica,C,150,0.1,0.01
March of the Multitudes,XGWW,Guilds of Ravnica,M,32.99,13.95,11.75
Mausoleum Secrets,1B,Guilds of Ravnica,R,20,1.63,0.37
Maximize Altitude,U,Guilds of Ravnica,C,150,0.12,0.01
Maximize Velocity,R,Guilds of Ravnica,C,1,0.1,0.01
Mephitic Vapors,2B,Guilds of Ravnica,C,1.98,0.1,0.02
Midnight Reaper,2B,Guilds of Ravnica,R,10,0.88,0.62
Might of the Masses,G,Guilds of Ravnica,U,2.99,0.15,0.04
Mission Briefing,UU,Guilds of Ravnica,R,17.98,5.2,2.99
Mnemonic Betrayal,1UB,Guilds of Ravnica,M,20,2,1.49
Molderhulk,7BG,Guilds of Ravnica,U,2.99,0.19,0.03
Moodmark Painter,2BB,Guilds of Ravnica,C,0.95,0.12,0.01
Mountain,,Guilds of Ravnica,L,1.9,0.25,0.11
Murmuring Mystic,3U,Guilds of Ravnica,U,2.99,0.24,0.06
Muse Drake,3U,Guilds of Ravnica,C,150,0.1,0.01
Narcomoeba,1U,Guilds of Ravnica,R,10.78,0.47,0.1
Necrotic Wound,B,Guilds of Ravnica,U,2.99,0.28,0.07
Never Happened,2B,Guilds of Ravnica,C,0.95,0.1,0.02
Nightveil Predator,UUBB,Guilds of Ravnica,U,2.99,0.25,0.1
Nightveil Sprite,1U,Guilds of Ravnica,U,2.99,0.27,0.05
"Niv-Mizzet, Parun",UUURRR,Guilds of Ravnica,R,10.78,2.05,1
Notion Rain,1UB,Guilds of Ravnica,C,1.9,0.15,0.04
Nullhide Ferox,2GG,Guilds of Ravnica,M,22.65,8.24,1.5
Ochran Assassin,1BG,Guilds of Ravnica,U,2.99,0.19,0.03
Omnispell Adept,4U,Guilds of Ravnica,R,5.98,0.4,0.15
Ornery Goblin,1R,Guilds of Ravnica,C,150,0.11,0.02
Overgrown Tomb,,Guilds of Ravnica,R,14,7.93,5
Pack's Favor,2G,Guilds of Ravnica,C,150,0.11,0.01
Parhelion Patrol,3W,Guilds of Ravnica,C,0.95,0.1,0.02
Passwall Adept,1U,Guilds of Ravnica,C,0.95,0.1,0.01
Pause for Reflection,2G,Guilds of Ravnica,C,1.61,0.11,0.02
Pelt Collector,G,Guilds of Ravnica,R,19,6.25,2.91
Pilfering Imp,B,Guilds of Ravnica,U,2.99,0.2,0.05
Piston-Fist Cyclops,1(U/R)(U/R),Guilds of Ravnica,C,150,0.1,0.03
Pitiless Gorgon,1(B/G)(B/G),Guilds of Ravnica,C,1.61,0.1,0.03
Plaguecrafter,2B,Guilds of Ravnica,U,2.99,0.83,0.26
Plains,,Guilds of Ravnica,L,1.74,0.22,0.08
Portcullis Vine,G,Guilds of Ravnica,C,1.61,0.1,0.01
Precision Bolt,2R,Guilds of Ravnica,C,9,0.22,0.07
Prey Upon,G,Guilds of Ravnica,C,1.61,0.1,0.01
Price of Fame,3B,Guilds of Ravnica,U,2.99,0.25,0.1
Quasiduplicate,1UU,Guilds of Ravnica,R,4.95,0.49,0.15
Radical Idea,1U,Guilds of Ravnica,C,0.95,0.15,0.02
Ral's Dispersal,3UU,Guilds of Ravnica,R,5.98,0.54,0.1
Ral's Staticaster,2UR,Guilds of Ravnica,U,2.99,0.2,0.05
"Ral, Caller of Storms",4UR,Guilds of Ravnica,M,14.97,6.5,5.65
"Ral, Izzet Viceroy",3UR,Guilds of Ravnica,M,24.99,9.58,6.97
Rampaging Monument,4,Guilds of Ravnica,U,2.99,0.15,0.02
Response // Resurgence,(R/W)(R/W)/3RW,Guilds of Ravnica,R,5.98,0.49,0.2
Rhizome Lurcher,2BG,Guilds of Ravnica,C,1.61,0.1,0.03
Righteous Blow,W,Guilds of Ravnica,C,150,0.13,0.01
Risk Factor,2R,Guilds of Ravnica,R,19.75,9.96,8
Ritual of Soot,2BB,Guilds of Ravnica,R,11.77,1.99,0.8
Roc Charger,2W,Guilds of Ravnica,U,2.99,0.15,0.01
Rosemane Centaur,3GW,Guilds of Ravnica,C,150,0.14,0.01
Rubblebelt Boar,3R,Guilds of Ravnica,C,150,0.1,0.01
Runaway Steam-Kin,1R,Guilds of Ravnica,R,15,5.75,3.9
Sacred Foundry,,Guilds of Ravnica,R,14.4,8.65,6.95
Selective Snare,XU,Guilds of Ravnica,U,2.99,0.15,0.04
Selesnya Guildgate (255),,Guilds of Ravnica,C,0.95,0.1,0.02
Selesnya Guildgate (256),,Guilds of Ravnica,C,150,0.1,0.01
Selesnya Locket,3,Guilds of Ravnica,C,0.95,0.12,0.03
Severed Strands,1B,Guilds of Ravnica,C,1.61,0.1,0.02
Siege Wurm,5GG,Guilds of Ravnica,C,21.42,0.13,0.01
Silent Dart,1,Guilds of Ravnica,U,150,0.19,0.03
Sinister Sabotage,1UU,Guilds of Ravnica,U,3.99,1.08,0.55
Skyknight Legionnaire,1RW,Guilds of Ravnica,C,0.99,0.12,0.04
Skyline Scout,1W,Guilds of Ravnica,C,21.42,0.1,0.01
Smelt-Ward Minotaur,2R,Guilds of Ravnica,U,150,0.15,0.03
Soldier Token,,Guilds of Ravnica,T,1.99,0.15,0.03
Sonic Assault,1UR,Guilds of Ravnica,C,0.95,0.12,0.01
Spinal Centipede,2B,Guilds of Ravnica,C,150,0.1,0.01
Sprouting Renewal,2G,Guilds of Ravnica,U,2.99,0.15,0.03
Status // Statue,(B/G)/2BG,Guilds of Ravnica,U,2.99,0.24,0.08
Steam Vents,,Guilds of Ravnica,R,14.4,9.75,7
Street Riot,4R,Guilds of Ravnica,U,2.99,0.15,0.01
Sumala Woodshaper,2GW,Guilds of Ravnica,C,0.95,0.11,0.03
Sunhome Stalwart,1W,Guilds of Ravnica,U,2.99,0.2,0.03
Sure Strike,1R,Guilds of Ravnica,C,150,0.1,0.01
Swamp,,Guilds of Ravnica,L,1.9,0.24,0.09
Swarm Guildmage,BG,Guilds of Ravnica,U,2.99,0.17,0.02
Swathcutter Giant,4RW,Guilds of Ravnica,U,21.42,0.15,0.03
Swiftblade Vindicator,RW,Guilds of Ravnica,R,10,1.5,0.71
Sworn Companions,2W,Guilds of Ravnica,C,150,0.1,0.02
"Tajic, Legion's Edge",1RW,Guilds of Ravnica,R,9,2.14,0.71
Take Heart,W,Guilds of Ravnica,C,1.61,0.1,0.02
Temple Garden,,Guilds of Ravnica,R,14.4,6.49,4.9
Tenth District Guard,1W,Guilds of Ravnica,C,150,0.1,0.01
Thief of Sanity,1UB,Guilds of Ravnica,R,10,2.75,1.49
Thought Erasure,UB,Guilds of Ravnica,U,2.99,0.75,0.2
Thoughtbound Phantasm,U,Guilds of Ravnica,U,2.99,0.25,0.08
Thousand-Year Storm,4UR,Guilds of Ravnica,M,20,2.99,1.98
Torch Courier,R,Guilds of Ravnica,C,1.61,0.1,0.01
Trostani Discordant,3GW,Guilds of Ravnica,M,11.99,3.47,2.05
Truefire Captain,RRWW,Guilds of Ravnica,U,2.99,0.18,0.05
Undercity Necrolisk,3B,Guilds of Ravnica,U,21.42,0.15,0.03
Undercity Uprising,2BG,Guilds of Ravnica,C,1.61,0.1,0.02
Underrealm Lich,3BG,Guilds of Ravnica,M,21.58,4.5,2.99
Unexplained Disappearance,1U,Guilds of Ravnica,C,0.95,0.13,0.02
Unmoored Ego,1UB,Guilds of Ravnica,R,19.99,1.55,0.49
Urban Utopia,1G,Guilds of Ravnica,C,150,0.1,0.02
Vedalken Mesmerist,1U,Guilds of Ravnica,C,150,0.1,0.01
Veiled Shade,2B,Guilds of Ravnica,C,150,0.1,0.01
Venerated Loxodon,4W,Guilds of Ravnica,R,4.95,1.64,0.33
Vernadi Shieldmate,1(G/W),Guilds of Ravnica,C,1.61,0.1,0.03
Vicious Rumors,B,Guilds of Ravnica,C,1.61,0.1,0.04
Vigorspore Wurm,5G,Guilds of Ravnica,C,21.42,0.11,0.01
Vivid Revival,4G,Guilds of Ravnica,R,4.99,0.25,0.05
Vraska's Stoneglare,4BG,Guilds of Ravnica,R,3.99,0.45,0.14
"Vraska, Golgari Queen",2BG,Guilds of Ravnica,M,29.88,12.6,8
"Vraska, Regal Gorgon",5BG,Guilds of Ravnica,M,14.97,6.78,5.78
Wall of Mist,1U,Guilds of Ravnica,C,150,0.1,0.02
Wand of Vertebrae,1,Guilds of Ravnica,U,9,0.15,0.03
Wary Okapi,2G,Guilds of Ravnica,C,150,0.12,0.02
Watcher in the Mist,3UU,Guilds of Ravnica,C,0.95,0.1,0.03
Watery Grave,,Guilds of Ravnica,R,14.38,9.23,7.75
Wee Dragonauts,1UR,Guilds of Ravnica,U,2.99,0.15,0.03
Whisper Agent,1(U/B)(U/B),Guilds of Ravnica,C,0.95,0.13,0.03
Whispering Snitch,1B,Guilds of Ravnica,U,2.99,0.15,0.03
Wild Ceratok,3G,Guilds of Ravnica,C,150,0.1,0.01
Wishcoin Crab,3U,Guilds of Ravnica,C,150,0.1,0.01
Wojek Bodyguard,2R,Guilds of Ravnica,C,150,0.1,0.01
Worldsoul Colossus,XGW,Guilds of Ravnica,U,2.99,0.15,0.02