Name,Cost,Set Name,R,High,Med,Low
 Abduction,2UU, Weatherlight,U,$9.99 ,$0.29 ,$0.15 
 Abeyance,1W, Weatherlight,R,$249.99 ,$17.95 ,$11.28 
 Abjure,U, Weatherlight,C,$25.00 ,$0.34 ,$0.15 
 Aboroth,4GG, Weatherlight,R,$4.99 ,$0.73 ,$0.30 
 Abyssal Gatekeeper,1B, Weatherlight,C,$9.60 ,$0.25 ,$0.10 
 Aether Flash,2RR, Weatherlight,U,$16.49 ,$0.50 ,$0.25 
 Agonizing Memories,2BB, Weatherlight,U,$16.49 ,$0.24 ,$0.07 
 Alabaster Dragon,4WW, Weatherlight,R,$9.99 ,$0.65 ,$0.20 
 Alms,W, Weatherlight,C,$0.94 ,$0.18 ,$0.01 
 Ancestral Knowledge,1U, Weatherlight,R,$249.99 ,$22.95 ,$6.96 
 Angelic Renewal,1W, Weatherlight,C,$9.99 ,$0.25 ,$0.08 
 Apathy,U, Weatherlight,C,$1.18 ,$0.19 ,$0.05 
 Arctic Wolves,3GG, Weatherlight,U,$1.99 ,$0.24 ,$0.05 
 Ardent Militia,4W, Weatherlight,C,$0.94 ,$0.18 ,$0.02 
 Argivian Find,W, Weatherlight,U,$9.99 ,$0.99 ,$0.33 
 Argivian Restoration,2UU, Weatherlight,U,$16.49 ,$0.29 ,$0.15 
 Aura of Silence,1WW, Weatherlight,U,$16.49 ,$3.40 ,$0.80 
 Avizoa,3U, Weatherlight,R,$16.49 ,$0.49 ,$0.22 
 Barishi,2GG, Weatherlight,U,$1.99 ,$0.25 ,$0.10 
 Barrow Ghoul,1B, Weatherlight,C,$1.70 ,$0.20 ,$0.03 
 Benalish Infantry,2W, Weatherlight,C,$0.94 ,$0.18 ,$0.03 
 Benalish Knight,2W, Weatherlight,C,$0.94 ,$0.19 ,$0.05 
 Benalish Missionary,W, Weatherlight,C,$0.99 ,$0.18 ,$0.03 
 Betrothed of Fire,1R, Weatherlight,C,$0.99 ,$0.19 ,$0.04 
 Bloodrock Cyclops,2R, Weatherlight,C,$0.94 ,$0.18 ,$0.03 
 Blossoming Wreath,G, Weatherlight,C,$0.94 ,$0.19 ,$0.05 
 Bogardan Firefiend,2R, Weatherlight,C,$0.99 ,$0.19 ,$0.04 
 Boiling Blood,2R, Weatherlight,C,$3.23 ,$0.24 ,$0.06 
 Bone Dancer,1BB, Weatherlight,R,$19.99 ,$3.27 ,$1.11 
 Bosium Strip,3, Weatherlight,R,$29.99 ,$2.67 ,$1.54 
 Briar Shield,G, Weatherlight,C,$9.60 ,$0.20 ,$0.04 
 Bubble Matrix,4, Weatherlight,R,$16.49 ,$3.47 ,$1.38 
 Buried Alive,2B, Weatherlight,U,$16.49 ,$3.31 ,$1.49 
 Call of the Wild,2GG, Weatherlight,R,$16.49 ,$0.49 ,$0.15 
 Chimeric Sphere,3, Weatherlight,U,$2.50 ,$0.24 ,$0.04 
 Choking Vines,XG, Weatherlight,C,$9.60 ,$0.21 ,$0.04 
 Cinder Giant,3R, Weatherlight,U,$1.99 ,$0.25 ,$0.05 
 Cinder Wall,R, Weatherlight,C,$1.00 ,$0.19 ,$0.03 
 Circling Vultures,B, Weatherlight,U,$1.99 ,$0.25 ,$0.05 
 Cloud Djinn,5U, Weatherlight,U,$1.99 ,$0.25 ,$0.05 
 Coils of the Medusa,1B, Weatherlight,C,$9.60 ,$0.18 ,$0.03 
 Cone of Flame,3RR, Weatherlight,U,$2.99 ,$0.24 ,$0.04 
 Debt of Loyalty,1WW, Weatherlight,R,$17.99 ,$14.19 ,$10.15 
 Dense Foliage,2G, Weatherlight,R,$16.49 ,$0.74 ,$0.25 
 Desperate Gambit,R, Weatherlight,U,$1.99 ,$0.35 ,$0.20 
 Dingus Staff,4, Weatherlight,U,$18.00 ,$0.53 ,$0.20 
 Disrupt,U, Weatherlight,C,$4.99 ,$0.25 ,$0.09 
 Doomsday,BBB, Weatherlight,R,$249.99 ,$11.60 ,$7.96 
 Downdraft,2G, Weatherlight,U,$1.99 ,$0.24 ,$0.07 
 Duskrider Falcon,1W, Weatherlight,C,$0.99 ,$0.20 ,$0.05 
 Dwarven Berserker,1R, Weatherlight,C,$1.21 ,$0.20 ,$0.04 
 Dwarven Thaumaturgist,2R, Weatherlight,R,$16.49 ,$0.79 ,$0.29 
 Empyrial Armor,1WW, Weatherlight,C,$1.01 ,$0.25 ,$0.10 
 Ertai's Familiar,1U, Weatherlight,R,$16.49 ,$0.58 ,$0.24 
 Fallow Wurm,2G, Weatherlight,U,$1.99 ,$0.24 ,$0.06 
 Familiar Ground,2G, Weatherlight,U,$16.00 ,$0.25 ,$0.08 
 Fatal Blow,B, Weatherlight,C,$1.70 ,$0.19 ,$0.03 
 Fervor,2R, Weatherlight,R,$16.49 ,$2.89 ,$0.75 
 Festering Evil,3BB, Weatherlight,U,$2.50 ,$0.25 ,$0.07 
 Fire Whip,1R, Weatherlight,C,$1.04 ,$0.21 ,$0.07 
 Firestorm,R, Weatherlight,R,$39.99 ,$15.00 ,$10.51 
 Fit of Rage,1R, Weatherlight,C,$0.99 ,$0.18 ,$0.04 
 Fledgling Djinn,1B, Weatherlight,C,$9.60 ,$0.20 ,$0.04 
 Flux,2U, Weatherlight,C,$4.99 ,$0.33 ,$0.10 
 Fog Elemental,2U, Weatherlight,C,$1.00 ,$0.19 ,$0.04 
 Foriysian Brigade,3W, Weatherlight,U,$2.49 ,$0.24 ,$0.05 
 Fungus Elemental,3G, Weatherlight,R,$16.49 ,$0.49 ,$0.21 
 Gaea's Blessing,1G, Weatherlight,U,$2.99 ,$0.46 ,$0.10 
 Gallowbraid,3BB, Weatherlight,R,$16.49 ,$0.50 ,$0.22 
 Gemstone Mine,, Weatherlight,U,$21.95 ,$8.51 ,$4.99 
 Gerrard's Wisdom,2WW, Weatherlight,U,$1.07 ,$0.25 ,$0.06 
 Goblin Bomb,1R, Weatherlight,R,$249.99 ,$6.38 ,$3.90 
 Goblin Grenadiers,3R, Weatherlight,U,$2.99 ,$0.30 ,$0.09 
 Goblin Vandal,R, Weatherlight,C,$1.86 ,$0.20 ,$0.05 
 Guided Strike,1W, Weatherlight,C,$0.99 ,$0.20 ,$0.04 
 Harvest Wurm,1G, Weatherlight,C,$0.99 ,$0.21 ,$0.05 
 Haunting Misery,1BB, Weatherlight,C,$9.60 ,$0.21 ,$0.05 
 Heart of Bogardan,2RR, Weatherlight,R,$249.99 ,$0.78 ,$0.20 
 Heat Stroke,2R, Weatherlight,R,$249.99 ,$2.26 ,$1.00 
 Heavy Ballista,3W, Weatherlight,C,$1.01 ,$0.19 ,$0.04 
 Hidden Horror,1BB, Weatherlight,U,$1.84 ,$0.25 ,$0.07 
 Hurloon Shaman,1RR, Weatherlight,U,$1.99 ,$0.26 ,$0.10 
 Infernal Tribute,BBB, Weatherlight,R,$99.99 ,$2.61 ,$0.89 
 Inner Sanctum,1WW, Weatherlight,R,$16.49 ,$1.00 ,$0.30 
 Jabari's Banner,2, Weatherlight,U,$1.84 ,$0.25 ,$0.07 
 Jangling Automaton,3, Weatherlight,C,$1.35 ,$0.20 ,$0.03 
 Kithkin Armor,W, Weatherlight,C,$1.20 ,$0.20 ,$0.05 
 Lava Hounds,2RR, Weatherlight,U,$1.99 ,$0.24 ,$0.05 
 Lava Storm,3RR, Weatherlight,C,$0.99 ,$0.18 ,$0.03 
 Liege of the Hollows,2GG, Weatherlight,R,$12.99 ,$2.56 ,$1.00 
 Llanowar Behemoth,3GG, Weatherlight,U,$1.07 ,$0.24 ,$0.05 
 Llanowar Druid,1G, Weatherlight,C,$1.91 ,$0.23 ,$0.08 
 Llanowar Sentinel,2G, Weatherlight,C,$0.99 ,$0.21 ,$0.05 
 Lotus Vale,, Weatherlight,R,$49.99 ,$23.81 ,$17.18 
 Mana Chains,U, Weatherlight,C,$0.99 ,$0.20 ,$0.04 
 Mana Web,3, Weatherlight,R,$249.99 ,$10.70 ,$8.20 
 Manta Ray,1UU, Weatherlight,C,$1.08 ,$0.18 ,$0.03 
 Maraxus of Keld,4RR, Weatherlight,R,$16.49 ,$0.86 ,$0.40 
 Master of Arms,2W, Weatherlight,U,$2.99 ,$0.23 ,$0.05 
 Merfolk Traders,1U, Weatherlight,C,$0.99 ,$0.20 ,$0.05 
 Mind Stone,2, Weatherlight,C,$9.99 ,$1.44 ,$0.65 
 Mischievous Poltergeist,2B, Weatherlight,U,$1.99 ,$0.25 ,$0.09 
 Mistmoon Griffin,3W, Weatherlight,U,$39.99 ,$0.27 ,$0.10 
 Morinfen,3BB, Weatherlight,R,$16.49 ,$0.50 ,$0.19 
 Mwonvuli Ooze,G, Weatherlight,R,$10.52 ,$0.51 ,$0.25 
 Nature's Kiss,1G, Weatherlight,C,$9.60 ,$0.20 ,$0.02 
 Nature's Resurgence,2GG, Weatherlight,R,$9.99 ,$0.45 ,$0.15 
 Necratog,1BB, Weatherlight,U,$4.99 ,$0.25 ,$0.10 
 Noble Benefactor,2U, Weatherlight,U,$2.99 ,$0.41 ,$0.16 
 Null Rod,2, Weatherlight,R,$79.99 ,$72.14 ,$49.39 
 Odylic Wraith,3B, Weatherlight,U,$16.49 ,$0.24 ,$0.05 
 Ophidian,2U, Weatherlight,C,$0.99 ,$0.20 ,$0.03 
 Orcish Settlers,1R, Weatherlight,U,$9.99 ,$0.50 ,$0.25 
 Paradigm Shift,1U, Weatherlight,R,$249.99 ,$17.99 ,$11.99 
 Peacekeeper,2W, Weatherlight,R,$59.99 ,$19.98 ,$12.99 
 Pendrell Mists,3U, Weatherlight,R,$249.99 ,$10.43 ,$6.55 
 Phantom Warrior,1UU, Weatherlight,U,$1.87 ,$0.24 ,$0.05 
 Phantom Wings,1U, Weatherlight,C,$1.19 ,$0.18 ,$0.03 
 Phyrexian Furnace,1, Weatherlight,U,$9.99 ,$0.42 ,$0.24 
 Psychic Vortex,2UU, Weatherlight,R,$249.99 ,$1.43 ,$0.48 
 Razortooth Rats,2B, Weatherlight,C,$0.99 ,$0.20 ,$0.06 
 Redwood Treefolk,4G, Weatherlight,C,$0.94 ,$0.18 ,$0.02 
 Relearn,1UU, Weatherlight,U,$9.99 ,$0.28 ,$0.14 
 Revered Unicorn,1W, Weatherlight,U,$3.00 ,$0.25 ,$0.05 
 Roc Hatchling,R, Weatherlight,U,$9.60 ,$0.24 ,$0.06 
 Rogue Elephant,G, Weatherlight,C,$0.99 ,$0.24 ,$0.09 
 Sage Owl,1U, Weatherlight,C,$1.23 ,$0.20 ,$0.05 
 Sawtooth Ogre,2RR, Weatherlight,C,$0.94 ,$0.17 ,$0.03 
 Scorched Ruins,, Weatherlight,R,$120.00 ,$24.65 ,$14.56 
 Serenity,1W, Weatherlight,R,$29.99 ,$1.75 ,$1.23 
 Serra's Blessing,1W, Weatherlight,U,$9.99 ,$0.49 ,$0.15 
 Serrated Biskelion,3, Weatherlight,U,$2.00 ,$0.34 ,$0.10 
 Shadow Rider,2BB, Weatherlight,C,$9.60 ,$0.20 ,$0.03 
 Shattered Crypt,XBB, Weatherlight,C,$9.60 ,$0.20 ,$0.04 
 Soul Shepherd,1W, Weatherlight,C,$1.07 ,$0.18 ,$0.03 
 Southern Paladin,2WW, Weatherlight,R,$16.49 ,$0.48 ,$0.19 
 Spinning Darkness,4BB, Weatherlight,C,$0.99 ,$0.23 ,$0.07 
 Steel Golem,3, Weatherlight,U,$2.00 ,$0.55 ,$0.20 
 Strands of Night,2BB, Weatherlight,U,$16.49 ,$0.46 ,$0.20 
 Straw Golem,1, Weatherlight,U,$1.99 ,$0.24 ,$0.05 
 Striped Bears,3G, Weatherlight,C,$5.00 ,$0.31 ,$0.09 
 Sylvan Hierophant,1G, Weatherlight,U,$1.99 ,$0.25 ,$0.06 
 Tariff,1W, Weatherlight,R,$9.99 ,$0.48 ,$0.20 
 Teferi's Veil,1U, Weatherlight,U,$6.99 ,$0.59 ,$0.30 
 Tendrils of Despair,B, Weatherlight,C,$9.60 ,$0.20 ,$0.04 
 Thran Forge,3, Weatherlight,U,$1.99 ,$0.26 ,$0.08 
 Thran Tome,4, Weatherlight,R,$16.49 ,$0.59 ,$0.19 
 Thunderbolt,1R, Weatherlight,C,$0.99 ,$0.19 ,$0.05 
 Thundermare,5R, Weatherlight,R,$4.99 ,$0.53 ,$0.15 
 Timid Drake,2U, Weatherlight,U,$4.99 ,$0.24 ,$0.06 
 Tolarian Drake,2U, Weatherlight,C,$1.07 ,$0.18 ,$0.04 
 Tolarian Entrancer,1U, Weatherlight,R,$16.49 ,$1.80 ,$0.72 
 Tolarian Serpent,5UU, Weatherlight,R,$10.52 ,$1.14 ,$0.30 
 Touchstone,2, Weatherlight,U,$1.84 ,$0.24 ,$0.05 
 Tranquil Grove,1G, Weatherlight,R,$9.99 ,$1.98 ,$0.35 
 Uktabi Efreet,2GG, Weatherlight,C,$0.94 ,$0.20 ,$0.02 
 Urborg Justice,BB, Weatherlight,R,$13.14 ,$2.99 ,$1.32 
 Urborg Stalker,3B, Weatherlight,R,$16.49 ,$0.66 ,$0.20 
 Veteran Explorer,G, Weatherlight,U,$5.00 ,$0.70 ,$0.25 
 Vitalize,G, Weatherlight,C,$17.20 ,$0.41 ,$0.15 
 Vodalian Illusionist,2U, Weatherlight,U,$4.99 ,$0.42 ,$0.20 
 Volunteer Reserves,1W, Weatherlight,U,$1.99 ,$0.24 ,$0.05 
 Wave of Terror,2B, Weatherlight,R,$16.49 ,$0.62 ,$0.20 
 Well of Knowledge,3, Weatherlight,R,$19.00 ,$2.24 ,$0.75 
 Winding Canyons,, Weatherlight,R,$249.99 ,$19.84 ,$16.47 
 Xanthic Statue,8, Weatherlight,R,$16.49 ,$0.50 ,$0.23 
 Zombie Scavengers,2B, Weatherlight,C,$9.60 ,$0.19 ,$0.02 